region,type,pct,data,consensus
all,total,0.4717,zymock_r9,miniCon
hp+,mismatch,0.021,zymock_r9,umiCon
hp+,insertion,0.0118,zymock_r9,umiCon
hp+,deletion,0.0124,zymock_r9,umiCon
hp+,total,0.0453,zymock_r9,umiCon
hp-,mismatch,0.023,zymock_r9,umiCon
hp-,insertion,0.0535,zymock_r9,umiCon
hp-,deletion,0.0005,zymock_r9,umiCon
hp-,total,0.0769,zymock_r9,umiCon
all,mismatch,0.0226,zymock_r9,umiCon
all,insertion,0.0461,zymock_r9,umiCon
all,deletion,0.0026,zymock_r9,umiCon
all,total,0.0713,zymock_r9,umiCon
